labels,number_of_dead,number_of_crashes,center_lat,center_lng
0,3,3,53.186099,50.182778
2,2,2,53.290071499999996,51.6578865
134,3,3,53.092788,50.158099666666665
8,2,2,53.4067175,50.334999499999995
137,2,2,53.5107935,49.471381
144,2,2,53.5753775,49.327771
145,3,3,53.21506933333333,50.26250566666667
146,2,2,53.085782,50.060572
19,4,3,53.467473,50.192088
21,2,2,53.4591755,51.51699
151,2,2,53.220234000000005,50.210483499999995
24,3,2,53.258571,50.9096515
23,2,2,53.0769855,49.951018000000005
30,2,2,53.513954999999996,49.303223
159,2,2,53.151023,48.469458
32,3,3,53.245334,50.24523033333333
35,3,2,53.3601575,51.3467105
164,5,3,53.39816966666667,50.42168866666667
165,3,2,53.0538415,50.396711999999994
167,2,2,53.5370195,49.289969
170,3,3,53.50343766666666,49.421000666666664
44,4,2,53.2421475,50.583197999999996
45,9,2,53.4682855,50.0701375
46,2,2,53.119761999999994,50.1201765
174,2,2,53.256315,50.288815
55,2,2,53.7046945,49.421809499999995
185,2,2,53.202311,50.232685000000004
67,2,2,53.340892999999994,50.232648
69,2,2,53.072638999999995,50.0320085
70,2,2,53.264372,49.104107
71,2,2,53.004211,50.5057975
72,3,3,53.23785066666667,50.311298666666666
77,2,2,53.259787,50.4575875
94,2,2,53.552101,49.305997
97,3,2,53.646921,49.67563749999999
98,3,3,53.20981733333333,50.13953333333333
99,3,2,54.2246255,51.500172500000005
104,2,2,53.100671500000004,48.4168925
107,2,2,53.403237000000004,50.3892595
109,3,2,53.292345999999995,50.2264435
110,3,2,53.2559615,48.2090595
124,3,2,53.483231,49.3824075
126,2,2,53.577906999999996,49.418048999999996
