type,labels,number_of_crashes,center_lat,center_lng
Светлое время суток,1,2,53.269515,50.2224335
Светлое время суток,1539,2,53.205263,50.1301165
Светлое время суток,1029,2,53.520688500000006,49.316644999999994
Светлое время суток,1542,3,53.357124666666664,50.20819133333333
Светлое время суток,1031,4,53.18052,50.08676775
Светлое время суток,519,3,53.48157966666667,49.47420533333333
Светлое время суток,9,3,53.471607666666664,49.531196333333334
Светлое время суток,1545,2,53.205852,50.1218895
Светлое время суток,11,2,53.512369,49.921569500000004
Светлое время суток,1547,2,53.398078999999996,50.422085499999994
Светлое время суток,520,3,53.51144466666667,49.42204866666667
Светлое время суток,526,4,53.533598,49.321633500000004
Светлое время суток,1039,2,53.236332000000004,50.2756675
Светлое время суток,1040,2,53.526041500000005,49.3174935
Светлое время суток,1548,2,53.206375,50.1952085
Светлое время суток,525,2,53.2256425,50.268316
Светлое время суток,1043,2,53.503108,49.290875
Светлое время суток,1044,2,53.305889,50.2899545
Светлое время суток,531,2,53.21594,48.6495855
Светлое время суток,534,2,53.218948499999996,50.2525675
Светлое время суток,1048,2,53.540014,49.362618
Светлое время суток,538,2,53.522787,49.415034000000006
Светлое время суток,539,3,53.21533066666667,50.210205
Светлое время суток,28,3,53.213867666666665,50.20256066666666
Светлое время суток,29,3,53.539315,49.26369666666667
Светлое время суток,27,3,53.506006,49.416352333333336
Светлое время суток,31,2,52.98431,49.433257
Светлое время суток,540,2,53.5210125,49.430124
Светлое время суток,542,2,53.1870805,50.1796885
Светлое время суток,546,2,53.2482885,50.204173999999995
Светлое время суток,1052,2,53.2010565,50.2036235
Светлое время суток,1062,2,53.378177,51.338079500000006
Светлое время суток,1067,3,53.22697133333333,50.25657133333333
Светлое время суток,1068,2,53.218713,50.2598895
Светлое время суток,556,2,53.419433999999995,50.1275075
Светлое время суток,46,2,53.2192935,50.500958499999996
Светлое время суток,562,2,53.5247075,49.321248499999996
Светлое время суток,566,2,53.4879085,49.5009455
Светлое время суток,567,2,53.291222000000005,50.2240235
Светлое время суток,57,2,53.082126,50.390825
Светлое время суток,1082,2,53.2016885,50.1224785
Светлое время суток,63,2,53.090990000000005,50.150791999999996
Светлое время суток,1088,2,53.2603455,50.29092300000001
Светлое время суток,577,2,53.165753,48.432437
Светлое время суток,1090,2,53.230603,50.278354
Светлое время суток,1091,2,53.215982999999994,50.2669585
Светлое время суток,1087,2,52.98452,49.708854
Светлое время суток,78,2,53.262705999999994,50.383329
Светлое время суток,1102,5,53.5073198,49.4462172
Светлое время суток,596,3,53.201388333333334,50.213261
Светлое время суток,84,2,53.510337,49.4573645
Светлое время суток,1111,2,53.225930500000004,50.277009
Светлое время суток,1112,2,53.2115035,50.170844
Светлое время суток,1114,3,53.204222333333334,50.142257
Светлое время суток,604,2,53.225196499999996,50.1980675
Светлое время суток,606,2,52.983687,49.718939000000006
Светлое время суток,607,2,53.5303895,49.2651555
Светлое время суток,609,2,53.36197,49.457868000000005
