type,labels,number_of_crashes,center_lat,center_lng
Сухое,1024,2,53.1870185,50.091046
Сухое,512,2,53.344713999999996,48.636044999999996
Сухое,514,2,53.2625505,50.5385925
Сухое,1,3,53.22595366666667,50.27708466666667
Сухое,516,2,53.5393095,49.263704
Сухое,0,2,53.490167,49.474195
Сухое,3,2,53.165631000000005,48.433124
Сухое,7,2,53.3600385,51.34652
Сухое,2,2,53.990628,51.521361999999996
Сухое,9,4,53.530268750000005,49.276478499999996
Сухое,10,2,53.153403499999996,50.075107
Сухое,522,3,53.32938166666666,50.231443
Сухое,1033,2,53.187053,50.178647
Сухое,525,2,53.36197,49.457868000000005
Сухое,1037,2,53.2317095,50.1821835
Сухое,1035,3,53.52755766666667,49.41714866666667
Сухое,14,2,53.21594,48.6495855
Сухое,528,4,53.51874075,49.40433275
Сухое,1039,2,53.483717,49.514578
Сухое,1044,2,53.5208955,49.273671
Сухое,533,2,53.246759999999995,50.3088535
Сухое,1046,2,53.191456,50.1840365
Сухое,537,2,52.98431,49.433257
Сухое,1050,2,53.088395500000004,50.0642045
Сухое,542,2,53.5034815,49.4004015
Сухое,31,2,53.350744,50.219569500000006
Сухое,34,2,53.402803000000006,49.531406000000004
Сухое,548,2,53.5449565,49.380922999999996
Сухое,1061,2,53.189378,50.13569
Сухое,1065,2,53.536725000000004,49.292315
Сухое,556,2,53.083622000000005,50.344157499999994
Сухое,557,2,53.302347999999995,50.277685000000005
Сухое,1070,3,53.22416066666667,50.273494666666664
Сухое,1068,2,53.349558,50.226684
Сухое,48,3,53.518477999999995,49.425191
Сухое,562,2,53.507768999999996,49.288584
Сухое,50,3,53.806854,49.79850833333333
Сухое,1076,2,53.228876,50.274491999999995
Сухое,1079,2,53.2327225,50.269466
Сухое,570,3,53.20097333333333,50.20359933333334
Сухое,61,2,53.082126,50.390825
Сухое,62,3,52.878571,50.857554666666665
Сухое,576,2,53.536046,49.3517865
Сухое,577,4,53.21736375,50.18739415
Сухое,65,3,53.264435999999996,50.218548
Сухое,1091,2,53.223937,50.186321
Сухое,70,2,53.261271,50.4153205
Сухое,74,2,53.167953,48.4980975
Сухое,587,3,53.537125,49.288678
