type,labels,number_of_crashes,center_lat,center_lng
Ясно,512,2,53.5048025,49.4675765
Ясно,1,2,53.206464,50.213556499999996
Ясно,2,2,53.378177,51.338079500000006
Ясно,514,2,53.2625505,50.5385925
Ясно,4,2,53.1530755,48.453044500000004
Ясно,1029,2,53.228876,50.274491999999995
Ясно,1030,2,53.5253235,49.428799999999995
Ясно,520,3,53.545597666666666,49.372623000000004
Ясно,521,2,53.3464865,50.2181415
Ясно,1038,2,53.212509499999996,50.214699
Ясно,17,2,53.4867115,50.116512
Ясно,1043,2,53.2511195,50.237083999999996
Ясно,1045,2,53.213907,50.255615
Ясно,1046,2,53.2751255,50.264772
Ясно,1047,2,53.2016885,50.1224785
Ясно,534,2,53.244682,50.2013225
Ясно,1049,3,53.51084633333333,49.457083
Ясно,27,2,53.0787165,49.9283605
Ясно,1056,2,53.55212,49.3035615
Ясно,1058,4,53.24286175,50.21061475
Ясно,547,2,53.0820585,48.416968
Ясно,549,2,53.1635095,48.440097
Ясно,37,2,52.98431,49.433257
Ясно,1063,2,53.278124000000005,50.2713955
Ясно,553,3,53.24404466666667,50.231779
Ясно,42,3,53.806854,49.79850833333333
Ясно,1067,2,53.104067,48.422155000000004
Ясно,44,3,53.09104833333333,50.15068466666666
Ясно,1069,2,53.52848,49.334869
Ясно,558,2,53.525559,49.3962455
Ясно,1070,3,53.22697133333333,50.25657133333333
Ясно,1075,3,53.193098,50.102503666666664
Ясно,52,3,53.255988333333335,50.219065666666665
Ясно,53,2,53.3561685,50.209228499999995
Ясно,1077,2,53.248504499999996,50.247841
Ясно,55,2,53.069959,50.027139000000005
Ясно,568,4,53.51874075,49.40433275
Ясно,1081,2,53.082126,50.390825
Ясно,566,2,53.2256425,50.268316
Ясно,565,2,53.231384500000004,50.2125595
Ясно,572,2,53.5420795,49.333763000000005
Ясно,1085,2,53.296123,50.286345
Ясно,65,2,53.215982999999994,50.2669585
Ясно,585,2,53.1268275,50.090190500000006
Ясно,74,2,53.243007500000004,49.561541500000004
