iter	Passed	Remaining
0	31	155903
1	59	148426
2	88	146826
3	116	145433
4	143	143039
5	170	142068
6	198	141522
7	225	140871
8	255	141528
9	283	141239
10	310	140991
11	339	141080
12	366	140685
13	395	140705
14	423	140882
15	451	140737
16	481	141184
17	510	141238
18	537	140982
19	565	140721
20	593	140654
21	621	140593
22	647	140207
23	683	141665
24	711	141555
25	739	141428
26	767	141395
27	796	141364
28	824	141273
29	852	141279
30	879	140923
31	913	141875
32	947	142665
33	975	142527
34	1004	142482
35	1031	142235
36	1061	142426
37	1094	142978
38	1122	142810
39	1151	142844
40	1178	142594
41	1207	142583
42	1236	142560
43	1264	142455
44	1297	142830
45	1327	142916
46	1360	143365
47	1388	143195
48	1415	143023
49	1442	142821
50	1470	142707
51	1497	142493
52	1524	142288
53	1552	142203
54	1580	142101
55	1607	141879
56	1634	141760
57	1665	141878
58	1692	141730
59	1719	141576
60	1748	141603
61	1776	141493
62	1803	141358
63	1831	141251
64	1859	141187
65	1886	141019
66	1918	141251
67	1946	141211
68	1975	141186
69	2003	141134
70	2032	141098
71	2060	141003
72	2087	140916
73	2115	140806
74	2142	140669
75	2170	140639
76	2197	140526
77	2225	140417
78	2254	140434
79	2280	140224
80	2307	140149
81	2340	140352
82	2368	140337
83	2397	140304
84	2425	140242
85	2453	140171
86	2481	140148
87	2508	140012
88	2535	139883
89	2563	139834
90	2590	139737
91	2617	139638
92	2648	139718
93	2675	139642
94	2704	139622
95	2732	139597
96	2761	139565
97	2788	139477
98	2815	139398
99	2844	139375
100	2872	139333
101	2901	139309
102	2931	139351
103	2959	139314
104	2986	139247
105	3014	139170
106	3042	139148
107	3070	139104
108	3098	139037
109	3126	138982
110	3153	138885
111	3180	138818
112	3207	138725
113	3235	138677
114	3262	138606
115	3291	138594
116	3320	138564
117	3348	138528
118	3377	138515
119	3404	138444
120	3435	138513
121	3467	138641
122	3497	138663
123	3528	138742
124	3560	138873
125	3590	138877
126	3618	138852
127	3648	138870
128	3676	138836
129	3705	138829
130	3737	138897
131	3765	138849
132	3795	138889
133	3825	138921
134	3855	138937
135	3885	138965
136	3915	138974
137	3951	139228
138	3981	139239
139	4011	139252
140	4043	139337
141	4071	139292
142	4099	139254
143	4127	139172
144	4155	139142
145	4183	139084
146	4211	139037
147	4241	139058
148	4270	139039
149	4298	138989
150	4327	138967
151	4355	138931
152	4383	138854
153	4412	138847
154	4445	138946
155	4477	139020
156	4504	138949
157	4530	138843
158	4568	139099
159	4617	139676
160	4656	139969
161	4686	139973
162	4715	139944
163	4746	139964
164	4774	139895
165	4803	139866
166	4832	139853
167	4861	139826
168	4889	139774
169	4918	139743
170	4952	139849
171	4980	139803
172	5007	139707
173	5035	139660
174	5061	139563
175	5092	139593
176	5119	139491
177	5145	139396
178	5174	139351
179	5201	139281
180	5228	139208
181	5255	139113
182	5284	139103
183	5312	139054
184	5342	139056
185	5370	138997
186	5398	138959
187	5425	138880
188	5455	138867
189	5482	138803
190	5511	138770
191	5539	138710
192	5566	138650
193	5595	138628
194	5623	138573
195	5651	138518
196	5678	138437
197	5704	138354
198	5732	138307
199	5761	138273
200	5789	138223
201	5816	138159
202	5846	138151
203	5874	138100
204	5902	138050
205	5930	138022
206	5958	137963
207	5996	138143
208	6026	138158
209	6054	138111
210	6083	138079
211	6111	138023
212	6138	137960
213	6167	137923
214	6195	137888
215	6229	137973
216	6257	137930
217	6286	137895
218	6314	137854
219	6344	137838
220	6372	137793
221	6399	137729
222	6428	137716
223	6459	137723
224	6486	137666
225	6514	137602
226	6541	137553
227	6569	137490
228	6597	137453
229	6624	137381
230	6656	137432
231	6686	137425
232	6713	137358
233	6742	137323
234	6770	137278
235	6798	137241
236	6827	137207
237	6856	137185
238	6884	137152
239	6913	137118
240	6943	137121
241	6971	137059
242	7006	137159
243	7034	137119
244	7062	137075
245	7092	137063
246	7119	137006
247	7147	136949
248	7174	136886
249	7202	136841
250	7232	136843
251	7260	136801
252	7300	136979
253	7330	136966
254	7358	136931
255	7388	136911
256	7420	136941
257	7453	136992
258	7481	136945
259	7510	136923
260	7537	136856
261	7565	136805
