iter	Passed	Remaining
0	26	132365
1	50	126572
2	73	122164
3	95	118696
4	116	116377
5	137	114086
6	158	112981
7	179	111900
8	200	111222
9	222	110789
10	243	110368
11	266	110621
12	288	110603
13	309	110170
14	330	109818
15	351	109523
16	372	109213
17	393	108974
18	414	108768
19	436	108687
20	457	108439
21	478	108357
22	499	108170
23	520	107990
24	542	107917
25	563	107725
26	584	107631
27	605	107504
28	626	107458
29	648	107410
30	669	107244
31	689	107095
32	711	107021
33	732	106987
34	754	106967
35	774	106849
36	796	106774
37	816	106647
38	838	106657
39	859	106619
40	881	106589
41	902	106515
42	923	106415
43	944	106377
44	966	106380
45	988	106461
46	1015	106970
47	1042	107566
48	1068	107939
49	1093	108255
50	1117	108393
51	1138	108335
52	1161	108372
53	1182	108279
54	1203	108169
55	1245	109956
56	1298	112646
57	1325	112913
58	1357	113667
59	1381	113751
60	1404	113721
61	1433	114145
62	1457	114196
63	1480	114185
64	1509	114585
65	1532	114549
66	1557	114664
67	1582	114810
68	1610	115067
69	1634	115082
70	1657	115081
71	1680	114998
72	1703	114943
73	1727	114994
74	1753	115142
75	1776	115075
76	1799	115071
77	1823	115068
78	1849	115201
79	1874	115260
80	1899	115350
81	1923	115378
82	1948	115422
83	1972	115424
84	1999	115603
85	2023	115603
86	2047	115614
87	2071	115627
88	2095	115606
89	2118	115598
90	2142	115563
91	2196	117204
92	2219	117125
93	2241	117012
94	2263	116866
95	2284	116720
96	2306	116602
97	2327	116434
98	2348	116286
99	2370	116153
100	2391	116006
101	2414	115959
102	2439	116002
103	2460	115846
104	2482	115712
105	2504	115611
106	2525	115478
107	2548	115417
108	2569	115299
109	2591	115207
110	2612	115080
111	2633	114953
112	2655	114863
113	2678	114796
114	2703	114821
115	2725	114740
116	2747	114648
117	2768	114559
118	2790	114460
119	2813	114415
120	2835	114314
121	2856	114223
122	2878	114153
123	2900	114053
124	2921	113953
125	2943	113874
126	2967	113860
127	2988	113767
128	3013	113795
129	3035	113707
130	3056	113605
131	3078	113524
132	3099	113436
133	3121	113359
134	3142	113256
135	3164	113164
136	3186	113114
137	3208	113036
138	3232	113029
139	3253	112935
140	3274	112855
141	3295	112752
142	3318	112696
143	3338	112595
144	3360	112532
145	3382	112441
146	3402	112333
147	3425	112308
148	3449	112294
149	3470	112206
150	3493	112177
151	3515	112112
152	3536	112038
153	3557	111951
154	3578	111851
155	3599	111772
156	3621	111699
157	3642	111625
158	3664	111556
159	3685	111471
160	3706	111395
161	3728	111351
162	3750	111283
163	3772	111230
164	3796	111263
165	3822	111301
166	3848	111367
167	3870	111334
168	3891	111245
169	3913	111189
170	3934	111116
171	3955	111036
172	3977	110987
173	3998	110912
174	4024	110965
175	4046	110915
176	4060	110647
177	4081	110574
178	4103	110510
179	4124	110450
180	4145	110372
181	4168	110344
182	4190	110295
183	4211	110233
